"","Conversacion","Cortes_Descortes","Llama_Atencion","Mediodeexpresion","F0_Inicial","F0_Final","F0_Media","F0_Maxima","F0_Minima","Intensidad_Maxima","Intensidad_Minima","Intensidad_Primera","Intensidad_Ultima","Intensidad_Media","Silabas","Duracion","Duracion_Pausa_Anterior","Duracion_Pausa_Posterior","Continuacion_Pausa","Curva_Melodica","Otro_Curva_Melodica","Inflexion_Local_Interna","Tonema","Unidad_Del_Discurso","Valormodal","Otro_Valor_Modal","Fenomeno_Tonal","Fenomeno_Duracion","Fenomeno_Pausas","Fenomeno_Velocidad","Fenomeno_Amplitud","Unidad_Fonica","Estrategia_Pragmatica","Efecto_Pragmatico_Asociado","Elemento_Analizado","Fragmento","cantidad","cantidad_Medio"
"1","VALESCO 114A","descortés","acento;entonación;velocidad de habla","Fórmulas indirectas",227,292,298,441,225,89,71,84,85,85,4.1,33,0,0,"continúa otro hablante","suspensión","desconocido","ascendente","suspendido","Intervención reactiva","aserción","desconocido","entonación suspendida","alargamiento","desconocido","velocidad de habla rápida","campo tonal alto","cláusula entonativa","recriminación","desconocido","si me lo ha dicho a mí ella","C: si me lo ha dicho a mí ella↓ ella allí tiene el historial del PAPA↓ allí en la ofici– y tiene también el [historial=]
A: [mira →]
C: = de [Jose=]
A: [mira→]
C: = Carlos↑
A: la faja↓ y la faja/ la otra vez cuando eso la columna↑ te pones la faja↑// te se quita/ y eso→",9,2
"2","VALESCO 130A","descortés","acento;duración;entonación","Atenuación",212.8,226,173.5,301,70.2,86,74,77,80,78,19,9,1,2.1,"continúa otro hablante","suspensión","desconocido","ninguna","suspendido","acto;Intervención iniciativo-reactiva","desconocido","Amenaza","entonación suspendida","alargamiento","pausas largas","velocidad de habla lenta","ninguno","grupo entonativo","desconocido","desconocido","M: (...) si no tee- no te sacas un futuro­↑/// asín quee↓// aprieta porque sino→","M: estudiar // tú porque no quieres estudiar // pero imagínate que tú no-tú no // si no tee- no te sacas un futuro↑ /// asín quee↓ // aprieta porque sino→
L: ¿SINO QUÉ?",11,62
"3","VALESCO 194A","descortés","acento;duración;velocidad de habla","Intensificación",242,422,315,498,108,86,59,83,70,81,41,7.6,0,0,"continúa otro hablante","circunfleja","desconocido","ascendente_descendente","ascendente","acto;Intervención reactiva;turno","negación","Respuesta","ascenso brusco de la curva melódica","ninguno","pausas cortas","velocidad de habla rápida","campo tonal alto","cláusula entonativa","Ofrecer información","Ninguno","M: porque NOO/ porque me pongo a discutir↑ otra vez con ella / y con ella↑ es inútil discutir↓ hay que [darle la=]","P: a A si que la quieres→/ o si no↑ cuenta lo que ha pasado hoy con la conducción§
M: § no
P: ¿por QUÉ?
M: porque NOO/ porque me pongo a discutir↑ otra vez con ella / y con ella↑ es inútil discutir↓ hay que [darle la=]
P: [pu- pues cu-]
M: = no darle la razón↑ ca- co- callarse y ya está§
P: ¿cuéntamelo? dime A ((tú))",1,159
"4","VALESCO 114A","descortés","acento;entonación;velocidad de habla","Intensificación",148,125,224,121,461,89,68,77,76,85,37,7.4,0,0,"continúa el mismo hablante","inclinación","desconocido","ascendente","descendente","Intervención reactivo-iniciativa;turno","aserción","desconocido","ascenso brusco de la curva melódica","ninguno","pocas pausas","ninguno","ninguno","paratono","recriminación;desacuerdo","desconocido","y si desde que tú vas diciéndome/ na(da) na na na
","A:  y si desde que tú vas diciéndome/ na(da) na na na↑ ya son trenta billetes que hubiera perdido↓ TRENTA/// ¿¡qué te parece esa!?§
C:§ si te hubiera puesto la in– inyección desde el primer día no estarías °( ((  ))°
",9,159
"5","VALESCO 130A","descortés","acento;entonación","Intensificación",248.8,223.5,225.8,334,111.7,87,83,80,83,83,39,7.2,0,0.5,"el otro hablante toma inmediatamente la palabra","circunfleja","desconocido","descendente_ascendente","circunflejo","acto;Intervención iniciativo-reactiva","aserción","desconocido","entonación circunfleja","ninguno","pausas cortas","ninguno","campo tonal alto","grupo entonativo","desacuerdo;opinión","desconocido","M: oh ¿chorrada?↑ ¿unos estudios son chorrada?↑ pues no sé en que te vah a trabajar↑ si no tienes estudios↓/// a fregar suelos por ahí","L: ¡uy! [que no aprenderé]
M:[y luego no te] co-colocarás en ningún sitio
L: [pues ya ves]
M: [pues vaya] carrera que vas a tener
L: ¡qué chorrada!
M: oh ¿chorrada?↑­ ¿unos estudios son chorrada?↑­ pues no sé en que te vas a trabajar↑­ si no tienes estudios↓ /// a fregar suelos por ahí§
L:                                                                          §nadie en el instituto estudia",51,159
"6","VALESCO 194A","cortés","acento;entonación","Intensificación;Humor",283,281,295,442,77,86,61,80,80,80,38,6.9,0.6,0,"continúa otro hablante","circunfleja","desconocido","ascendente_descendente","descendente","acto;Intervención reactiva;turno","negación","desconocido","entonación circunfleja","ninguno","pocas pausas","ninguno","campo tonal alto","cláusula entonativa","Ofrecer información","Humor","M: te haré↑ como el examinador↓ gira a la izquierda↑ me ha dicho y tendrás que girar a la izquierda↓ esa frasecita no↑ te la he dicho","P: RISAS
M: =te haré↑ como el examinador↓ gira a la izquierda↑ me ha dicho y tendrás que girar a la izquierda↓ esa frasecita no↑ te la he [dicho]
A:[bueno]/ pero yo he entendido que tendría que cerra- que girar a la- a la izquierda↑",51,1
"7","VALESCO 84A","cortés","entonación","Atenuación",251,138,200,332,117,90,66,85,88,85,31,6,0,0,"desconocido","declinación","declinación con énfasis internos","ascendente_descendente","circunflejo","turno","exclamación","justificación","entonación circunfleja","desconocido","ninguno","ninguno","ninguno","grupo entonativo","disculpa","desconocido","Yo sé que ella necesita muchas cosas que yo le tengo que dar y no tengo tiempo para dárselas",NA,156,62
"8","VALESCO 114A","descortés","acento;entonación","Fórmulas indirectas",230,261,234,318,115,89,69,70,81,84,39,6,0,0,"continúa otro hablante","inclinación","desconocido","ascendente_descendente","ascendente","Intervención reactiva;Intervención reactivo-iniciativa","pregunta","desconocido","ninguno","ninguno","sin pausas","velocidad de habla rápida","ninguno","cláusula entonativa","reproche;desacuerdo","desconocido","¿¡no te los vas a tomar!? pos a mí no me digas de gastarme tanto dinero↑ que la semana pasá me gasté cinco","C: ¿¡no te los vas a tomar!? pos a mí no me digas de gastarme tanto dinero↑ que la semana pasá me gasté cinco mil pesetas↑§
A:§ ¿¡y pa(ra) qué [los sacas/ los polvos!?]",51,2
"9","VALESCO 165A","cortés","entonación","Atenuación",148.8,224.8,155.5,261.6,134.1,NA,NA,NA,NA,0,47,6,0,0,"continúa el mismo hablante","suspensión","desconocido","descendente_ascendente","ascendente","acto","aserción","desconocido","entonación suspendida","ninguno","pausas cortas","ninguno","ninguno","grupo entonativo","petición","desconocido","A: (...) entonces nosotros no tenemos herramientas entonces le queríamos decir si nos puede dejar un→ destornillador pa(ra) ver si lo podíamos arreglar↑ (...)","A: (...) yy- y otra cosa que le queremos comentarle quee las sartenes que tenemos en el piso es que se nos han roto todas/ y entonces eh pero no es que se hayan roto sino del mango­ se nos haa- se nos han→ soltado/ entonces nosotros no tenemos herramientas entonces le queríamos decir si nos puede dejar un→ destornillador pa(ra) ver si lo podíamos arreglar­// oo sii [se compran=]
B: [((   ))]
A: = otras o lo que sea o con- yo creo que con el destornillador sí que se podían [arreglar]
B:[sí sí]",156,62
"10","VALESCO 025A","descortés","entonación","Intensificación",NA,NA,191,240,146,64,45,NA,NA,57,0,5.62,0,0,"desconocido","suspensión","desconocido","ninguna","ascendente","acto","aserción","desconocido","ninguno","ninguno","ninguno","ninguno","ninguno","cláusula entonativa","desconocido","desconocido","pero es que las cosas fueron de la siguiente manera compraron el viernes los números los tiraron a la mesa del despacho y el lunes",NA,156,159
"11","VALESCO 114A","descortés","entonación","Intensificación;Ironía",415,275,254,415,122,89,69,75,81,85,30,5.3,1,1.15,"continúa un solapamiento","circunfleja","desconocido","ascendente_descendente","suspendido","Intervención reactivo-iniciativa;turno","aserción","desconocido","desconocido","desconocido","pausas largas","ninguno","campo tonal alto","cláusula entonativa","recriminación;desacuerdo;rechazo","desconocido","A: pínchate ahora↑/ te estoy diciendo/ QUE HEMOS PEGAO DOH O TREH TRAGOH DE GÜIH↑QUI↓ pos voy y me pincho ahora↑","C: pínchate ahora
A: ¡cha!
B: papa
A: pínchate ahora↑/ te estoy diciendo/ QUE HEMOS PEGAO DOH O TREH TRAGOH DE GÜIH↑QUI↓ pos voy y me [pincho ahora↑]
C:[pero creo que] dos o tres tragos de güisqui no cre– no [creo]",156,5
"12","VALESCO 129B","cortés","acento;entonación","Intensificación",108.8,75,100.2,128.4,89.1,79,70,77,72,76,14,5.2,0,4,"continúa otro hablante","circunfleja","desconocido","ninguna","circunflejo","acto","aserción","desconocido","entonación circunfleja","ninguno","pausas largas","ninguno","ninguno","grupo entonativo","""cumplidos; elogios y piropos""","desconocido","B: (...) te ha quedao→ ///una BUENA ensaladilla rusa (...)","D: ¿de qué/de mala o de buena↓?§
C:§ de buena // te ha quedao→ ///una BUENA ensaladilla rusa (4’’) ¡Gema!",51,159
